ISSN, OBJECT ID, SIRSI DATE, SFX DATE
0920-5691, 954925564668, [1987-], [1987-]
0920-654X, 954925564670, [1987-], [1987-]
0920-8542, 954925564671, [1987-], [1987-]
0920-8569, 954925564672, [1987-], [1987-]
0920-9069, 954925564674, [1987-], [1987-]
0921-0296, 954925564676, [1988-], [1988-]
0921-030X, 954925564677, [1988-], [1988-]
0921-2728, 954925564678, [1988-], [1988-]
0921-2973, 954925564679, [1987-], [1987-]
0921-8971, 954925565693, [1989-], [1989-]
0921-9668, 954925565694, [Record not found in Sirsi], [1952-]
0922-4777, 954925565696, [1989-], [1989-]
0922-5773, 954925565697, [Record not found in Sirsi], [1989-2007]
0922-6168, 954925565699, [1997-], [1997-]
0922-6435, 954925565700, [1989-], [1989-]
0922-6443, 954925565701, [1989-], [1989-]
0922-680X, 954925565702, [1989-], [1989-]
1388-3127, 954925565703, [Record not found in Sirsi], [1983-]
0923-2958, 954925565706, [Record not found in Sirsi], [1969-]
0923-6082, 954925565707, [1990-], [1990-]
0923-7992, 954925565709, [1990-], [1990-]
0923-8174, 954925565710, [1990-], [1990-]
0923-9820, 954925565711, [1990-], [1990-]
0924-090X, 954925565713, [1990-], [1990-]
0924-1868, 954925565714, [1991-], [1991-]
0924-6460, 954925566723, [1991-], [1991-]
0924-669X, 954925566724, [1991-], [1991-]
0924-6703, 954925566725, [1991-], [1991-]
0924-9907, 954925566730, [1992-], [1992-]
0925-1022, 954925566731, [1991-], [1991-]
0925-1030, 954925566732, [1991-], [1991-]
0925-2738, 954925566734, [1991-], [1991-]
0925-4668, 954925566738, [1991-2001], [1991-2001]
0925-4994, 954925566741, [Record not found in Sirsi], [1977-]
0925-5001, 954925566742, [1991-], [1991-]
0925-8558, 954925567747, [1992-], [1992-]
0925-9864, 954925567750, [Record not found in Sirsi], [1953-]
0925-9902, 954925567751, [1992-], [1992-]
0926-2601, 954925567753, [1992-], [1992-]
0926-2644, 954925567754, [1992-], [1992-]
0926-4957, 954925567756, [1990-2004], [1990-2004]
0926-6003, 954925567758, [1992-], [1992-]
0926-8782, 954925567762, [1993-], [1993-]
